HumanOrthologGeneID,MouseGeneID,Symbol,Synonyms,Description,EnsemblGeneID,Matrix,IMS,MitoCarta2_List
7385.0,67003,Uqcrc2,1500004O06Rik|Q9DB77,ubiquinol cytochrome c reductase core protein 2,ENSMUSG00000030884,True,False,True
27089.0,22272,Uqcrq,1100001F06Rik|1500040F11Rik|5830407L17Rik|9.5kDa|AA959903|QP-C|Qpc|Uqcrb|c1502|Q9CQ69,"ubiquinol-cytochrome c reductase, complex III subunit VII",ENSMUSG00000044894,False,True,True
4191.0,17448,Mdh2,MDH|Mdh-2|Mor-1|Mor1|P08249,"malate dehydrogenase 2, NAD (mitochondrial)",ENSMUSG00000019179,True,False,True
1629.0,13171,Dbt,D3Wsu60e|P53395,dihydrolipoamide branched chain transacylase E2,ENSMUSG00000000340,True,False,True
1737.0,235339,Dlat,6332404G05Rik|DLTA|PDC-E2|Q8BMF4,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),ENSMUSG00000000168,True,False,True
10128.0,72416,Lrpprc,3110001K13Rik|C76645|Gp130|Lrp130|Lsfc|Q6PB66,leucine-rich PPR-motif containing,ENSMUSG00000024120,True,False,True
116540.0,68499,Mrpl53,1110007K17Rik|Q9D1H8,mitochondrial ribosomal protein L53,ENSMUSG00000030037,True,False,True
8050.0,27402,Pdhx,AI481367|E3bp|Pdx1|Q8BKZ9,"pyruvate dehydrogenase complex, component X",ENSMUSG00000010914,True,False,True
1743.0,78920,Dlst,1600017E01Rik|4632413C10Rik|4930529O08Rik|DLTS|Q9D2G2,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),ENSMUSG00000004789,True,True,True
85476.0,28030,Gfm1,AW545374|D3Wsu133e|Gfm|Q8K0D5,"G elongation factor, mitochondrial 1",ENSMUSG00000027774,True,False,True
80273.0,17713,Grpel1,AA408748|mt-GrpE#1|mt-Grpel1|Q99LP6,"GrpE-like 1, mitochondrial",ENSMUSG00000029198,True,False,True
29796.0,66152,Uqcr10,1110020P15Rik|AA960494|Ucrc|Q8R1I1,"ubiquinol-cytochrome c reductase, complex III subunit X",ENSMUSG00000059534,False,False,True
25874.0,70456,Mpc2,0610006C01Rik|2010002I07Rik|2610205H19Rik|AA108335|Brp44|ESTM43|Q9D023,mitochondrial pyruvate carrier 2,ENSMUSG00000026568,False,False,True
51805.0,230027,Coq3,4732433J24|C77934|Q8BMS4,"coenzyme Q3 homolog, methyltransferase (yeast)",ENSMUSG00000028247,True,False,True
5250.0,18674,Slc25a3,5730556H19Rik|PTP|Phc|Q8VEM8,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3",ENSMUSG00000061904,False,False,True
514.0,67126,Atp5e,2410043G19Rik|ATPE|AV000645|P56382,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",ENSMUSG00000016252,False,False,True
64981.0,94065,Mrpl34,0610007O17Rik|D8Bwg1484e|Q99N91,mitochondrial ribosomal protein L34,ENSMUSG00000034880,True,False,True
64960.0,66407,Mrps15,1500003E24Rik|2410002B11Rik|Mprs15|Q9DC71,mitochondrial ribosomal protein S15,ENSMUSG00000028861,False,False,True
6391.0,66052,Sdhc,0610010E03Rik|AI316496|AU019277|Q9CZB0,"succinate dehydrogenase complex, subunit C, integral membrane protein",ENSMUSG00000058076,False,False,True
506.0,11947,Atp5b,P56480,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",ENSMUSG00000025393,True,False,True
51649.0,64656,Mrps23,2310047I09Rik|D11Bwg1153e|Rpms23|Q8VE22,mitochondrial ribosomal protein S23,ENSMUSG00000023723,True,False,True
2108.0,110842,Etfa,2010200I21Rik|D9Ertd394e|Q99LC5,"electron transferring flavoprotein, alpha polypeptide",ENSMUSG00000032314,True,False,True
2271.0,14194,Fh1,Fh|Fh-1|P97807,fumarate hydratase 1,ENSMUSG00000026526,True,False,True
23107.0,218506,Mrps27,2610028H14Rik|Q8BK72,mitochondrial ribosomal protein S27,ENSMUSG00000041632,True,False,True
81689.0,69046,Isca1,1810010A06Rik|Hbld2|Q9D924,iron-sulfur cluster assembly 1 homolog (S. cerevisiae),ENSMUSG00000044792,True,False,True
3419.0,67834,Idh3a,1110003P10Rik|1500012E04Rik|AA407078|AI316514|Q9D6R2,isocitrate dehydrogenase 3 (NAD+) alpha,ENSMUSG00000032279,True,False,True
4719.0,227197,Ndufs1,5830412M15Rik|9930026A05Rik|Q91VD9,NADH dehydrogenase (ubiquinone) Fe-S protein 1,ENSMUSG00000025968,True,False,True
549.0,11992,Auh,C77140|W91705|Q9JLZ3,AU RNA binding protein/enoyl-coenzyme A hydratase,ENSMUSG00000021460,True,False,True
10939.0,69597,Afg3l2,2310036I02Rik|AW260507|Emv66|par|Q8JZQ2,AFG3(ATPase family gene 3)-like 2 (yeast),ENSMUSG00000024527,True,False,True
23203.0,66865,Pmpca,1200002L24Rik|4933435E07Rik|Alpha-MPP|P-55|Q9DC61,peptidase (mitochondrial processing) alpha,ENSMUSG00000026926,True,False,True
1353.0,69802,Cox11,2010004I09Rik|Q6P8I6,cytochrome c oxidase assembly protein 11,ENSMUSG00000020544,False,True,True
8803.0,20916,Sucla2,4930547K18Rik|Q9Z2I9,"succinate-Coenzyme A ligase, ADP-forming, beta subunit",ENSMUSG00000022110,True,False,True
23395.0,102436,Lars2,AI035546|Kiaa0028|LEURS|Q8VDC0,"leucyl-tRNA synthetase, mitochondrial",ENSMUSG00000035202,True,False,True
539.0,28080,Atp5o,ATPO|D12Wsu28e|OSCP|Q9DB20,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",ENSMUSG00000022956,True,False,True
26589.0,67308,Mrpl46,3110052F15Rik|C15orf4|C80107|LIECG2|P2ECSL|Q9EQI8,mitochondrial ribosomal protein L46,ENSMUSG00000030612,True,False,True
1355.0,226139,Cox15,2900026G05Rik|Q8BJ03,cytochrome c oxidase assembly protein 15,ENSMUSG00000040018,False,False,True
7388.0,66576,Uqcrh,2210416J04Rik|2310021J10Rik|2610041P16Rik|P99028,ubiquinol-cytochrome c reductase hinge protein,ENSMUSG00000063882,False,True,True
192286.0,67044,Higd2a,2010110M21Rik|AA690237|Q9CQJ1,"HIG1 domain family, member 2A",ENSMUSG00000025868,False,True,True
26519.0,30059,Timm10,Tim13|Timm13a|P62073,translocase of inner mitochondrial membrane 10,ENSMUSG00000027076,False,True,True
2110.0,66841,Etfdh,0610010I20Rik|AV001013|Q921G7,"electron transferring flavoprotein, dehydrogenase",ENSMUSG00000027809,True,False,True
1892.0,93747,Echs1,C80529|Q8BH95,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial",ENSMUSG00000025465,True,False,True
3030.0,97212,Hadha,C77020|Mtpa|Q8BMS1,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit",ENSMUSG00000025745,True,False,True
593.0,12039,Bckdha,Q3U3J1,"branched chain ketoacid dehydrogenase E1, alpha polypeptide",ENSMUSG00000060376,True,False,True
1431.0,12974,Cs,2610511A05Rik|9030605P22Rik|BB234005|Cis|ahl4|Q9CZU6,citrate synthase,ENSMUSG00000005683,True,False,True
8802.0,56451,Suclg1,1500000I01Rik|Sucla1|Q9WUM5,"succinate-CoA ligase, GDP-forming, alpha subunit",ENSMUSG00000052738,False,False,True
1337.0,12861,Cox6a1,VIaL|P43024,cytochrome c oxidase subunit VIa polypeptide 1,ENSMUSG00000041697,False,False,True
35.0,11409,Acads,AI196007|Bcd-1|Bcd1|Hdlq8|SCAD|Q07417,"acyl-Coenzyme A dehydrogenase, short chain",ENSMUSG00000029545,True,False,True
4729.0,72900,Ndufv2,2900010C23Rik|Q9D6J6,NADH dehydrogenase (ubiquinone) flavoprotein 2,ENSMUSG00000024099,True,False,True
55699.0,381314,Iars2,2010002H18Rik|C79125|Q8BIJ6,"isoleucine-tRNA synthetase 2, mitochondrial",ENSMUSG00000026618,True,False,True
51004.0,217707,Coq6,5930427M12Rik|AW742344|Q8R1S0,coenzyme Q6 homolog (yeast),ENSMUSG00000021235,True,False,True
521.0,11958,Atp5k,2610008D24Rik|Atp5i|Lfm1|Q06185,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E",ENSMUSG00000050856,False,True,True
3420.0,170718,Idh3b,C78231|Q91VA7,isocitrate dehydrogenase 3 (NAD+) beta,ENSMUSG00000027406,True,False,True
4700.0,67130,Ndufa6,14kDa|2700038D15Rik|B230217P19Rik|Q9CQZ5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14)",ENSMUSG00000022450,True,False,True
3954.0,56384,Letm1,Q9Z2I0,leucine zipper-EF-hand containing transmembrane protein 1,ENSMUSG00000005299,True,True,True
91647.0,246782,Atpaf2,ATP12|ATP12p|Q91YY4,ATP synthase mitochondrial F1 complex assembly factor 2,ENSMUSG00000042709,False,False,True
84816.0,170728,Rtn4ip1,D10Ertd690e|NIMP|Q924D0,reticulon 4 interacting protein 1,ENSMUSG00000019864,True,False,True
84545.0,94067,Mrpl43,4930442D21Rik|bMRP36a|Q5RL20,mitochondrial ribosomal protein L43,ENSMUSG00000025208,False,False,True
83451.0,68758,Abhd11,1110054D16Rik|A630008N09Rik|Wbscr21|Q8K4F5,abhydrolase domain containing 11,ENSMUSG00000040532,True,False,True
92609.0,66525,Timm50,2810403L02Rik|AU015082|TIM50L|Q9D880,translocase of inner mitochondrial membrane 50,ENSMUSG00000003438,False,True,True
10573.0,68611,Mrpl28,1110015G04Rik|L28mt|MAAT1|MRP-L28|p15|Q9D1B9,mitochondrial ribosomal protein L28,ENSMUSG00000024181,True,False,True
54949.0,66072,Sdhaf2,0610038F07Rik|AA407634|AW049997|Q8C6I2,succinate dehydrogenase complex assembly factor 2,ENSMUSG00000024668,False,False,True
4714.0,67264,Ndufb8,2900010I05Rik|AI987932|Q9D6J5,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8,ENSMUSG00000025204,True,True,True
1738.0,13382,Dld,O08749,dihydrolipoamide dehydrogenase,ENSMUSG00000020664,True,False,True
4723.0,17995,Ndufv1,CI-51kD|Q91YT0,NADH dehydrogenase (ubiquinone) flavoprotein 1,ENSMUSG00000037916,True,False,True
4720.0,226646,Ndufs2,AL033311|Q91WD5,NADH dehydrogenase (ubiquinone) Fe-S protein 2,ENSMUSG00000013593,True,False,True
4976.0,74143,Opa1,1200011N24Rik|AI225888|AI847218|lilr3|mKIAA0567|P58281,optic atrophy 1,ENSMUSG00000038084,False,True,True
10989.0,76614,Immt,1700082C19Rik|D830041H16Rik|HMP|P87|P87/89|P89|Q8CAQ8,"inner membrane protein, mitochondrial",ENSMUSG00000052337,False,False,True
139322.0,68117,Apool,6720473G16Rik|9430083G14Rik|E130106L15Rik|Q78IK4,apolipoprotein O-like,ENSMUSG00000025525,False,False,True
9361.0,74142,Lonp1,1200017E13Rik|LON|Prss15|Q8CGK3,"lon peptidase 1, mitochondrial",ENSMUSG00000041168,True,False,True
5166.0,27273,Pdk4,AV005916|O70571,"pyruvate dehydrogenase kinase, isoenzyme 4",ENSMUSG00000019577,False,False,True
25875.0,68614,Letmd1,1110019O13Rik|AI593524|BB130465|BB235638|HCCR-2|HCCR1|MCC-32|Mccr|Q924L1,LETM1 domain containing 1,ENSMUSG00000037353,False,False,True
4528.0,76784,Mtif2,2310038D14Rik|2410112O06Rik|IF-2(Mt)|IF-2mt|IF2(mt)|Q91YJ5,mitochondrial translational initiation factor 2,ENSMUSG00000020459,True,False,True
374291.0,75406,Ndufs7,1010001M04Rik|Q9DC70,NADH dehydrogenase (ubiquinone) Fe-S protein 7,ENSMUSG00000020153,True,False,True
4728.0,225887,Ndufs8,BC021616|CI-23kD|TYKY|Q8K3J1,NADH dehydrogenase (ubiquinone) Fe-S protein 8,ENSMUSG00000059734,True,False,True
92399.0,67871,Mrrf,2400002D02Rik|MRFF|MTRRF|RRF|Q9D6S7,mitochondrial ribosome recycling factor,ENSMUSG00000026887,True,False,True
51069.0,27398,Mrpl2,CGI-22|MRP-L14|Rpml14|Q9D773,mitochondrial ribosomal protein L2,ENSMUSG00000002767,True,False,True
84340.0,320806,Gfm2,6530419G12Rik|A930009M04Rik|EF-G2mt|EFG2|MST027|RRF2mt|Q8R2Q4,"G elongation factor, mitochondrial 2",ENSMUSG00000021666,True,False,True
26520.0,30056,Timm9,2810011L15Rik|Tim10a|Timm10|Q9WV98,translocase of inner mitochondrial membrane 9,ENSMUSG00000021079,False,True,True
10531.0,69617,Pitrm1,2310012C15Rik|AA410010|MP-1|MP1|Ntup1|PreP|mKIAA1104|Q8K411,pitrilysin metallepetidase 1,ENSMUSG00000021193,True,False,True
34.0,11364,Acadm,AU018656|MCAD|P45952,"acyl-Coenzyme A dehydrogenase, medium chain",ENSMUSG00000062908,True,False,True
6832.0,338359,Supv3l1,6330443E10Rik|Q80YD1,"suppressor of var1, 3-like 1 (S. cerevisiae)",ENSMUSG00000020079,True,False,True
65008.0,94061,Mrpl1,2410002L03Rik|5830418D04Rik|AI462572|L1mt|Q99N96,mitochondrial ribosomal protein L1,ENSMUSG00000029486,True,False,True
50.0,11429,Aco2,Aco-2|Aco3|D10Wsu183e|Q99KI0,"aconitase 2, mitochondrial",ENSMUSG00000022477,True,False,True
93058.0,210582,Coq10a,Gm1|E9Q3H6,coenzyme Q10 homolog A (yeast),ENSMUSG00000039914,False,False,True
25813.0,68653,Samm50,1110030L07Rik|Q8BGH2,sorting and assembly machinery component 50 homolog (S. cerevisiae),ENSMUSG00000022437,True,True,True
51116.0,118451,Mrps2,1500019M10Rik|Q924T2,mitochondrial ribosomal protein S2,ENSMUSG00000035772,True,False,True
6834.0,20930,Surf1,0610010F23Rik|Surf-1|P09925,surfeit gene 1,ENSMUSG00000015790,False,False,True
65080.0,69163,Mrpl44,1810030E18Rik|5730593H20Rik|AI463302|Q9CY73,mitochondrial ribosomal protein L44,ENSMUSG00000026248,True,False,True
5245.0,18673,Phb,Bap32|P67778,prohibitin,ENSMUSG00000038845,False,False,True
60558.0,231279,Guf1,4631409J12|AA407526|EF-4|Q8C3X4,GUF1 GTPase homolog (S. cerevisiae),ENSMUSG00000029208,True,False,True
5442.0,216151,Polrmt,1110018N15Rik|4932416K13|Q8BKF1,polymerase (RNA) mitochondrial (DNA directed),ENSMUSG00000020329,True,False,True
27069.0,66092,Ghitm,1010001P14Rik|C77840|MICS1|PTD010|Tmbim5|Q91VC9,growth hormone inducible transmembrane protein,ENSMUSG00000041028,False,True,True
26517.0,30055,Timm13,D10Ertd378e|Tim9|Timm9|P62075,translocase of inner mitochondrial membrane 13,ENSMUSG00000020219,False,True,True
1376.0,12896,Cpt2,AI323697|CPTII|P52825,carnitine palmitoyltransferase 2,ENSMUSG00000028607,True,False,True
124995.0,107732,Mrpl10,0610040E02Rik|C78440|MRP-L8|Rpml8|Q3TBW2,mitochondrial ribosomal protein L10,ENSMUSG00000001445,True,False,True
25821.0,68291,Mto1,2310039H01Rik|5730419A02Rik|Q923Z3,mitochondrial translation optimization 1 homolog (S. cerevisiae),ENSMUSG00000032342,True,False,True
10935.0,11757,Prdx3,AW822249|Aop1|D0Tohi1|Ef2l|Mer5|Prx3|SP22|TDXM|P20108,peroxiredoxin 3,ENSMUSG00000024997,True,True,True
522.0,11957,Atp5j,P97450,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F",ENSMUSG00000022890,False,True,True
1347.0,12866,Cox7a2,COX7AL|Cox7a3|CoxVIIa-L|P48771,cytochrome c oxidase subunit VIIa 2,ENSMUSG00000032330,False,False,True
200205.0,216792,Iba57,4930543L23Rik|A230051G13Rik|C1orf69|Q8CAK1,"IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)",ENSMUSG00000049287,True,False,True
64976.0,18100,Mrpl40,Nlvcf|Q9Z2Q5,mitochondrial ribosomal protein L40,ENSMUSG00000022706,True,False,True
26275.0,227095,Hibch,2610509I15Rik|AI648812|Q8QZS1,3-hydroxyisobutyryl-Coenzyme A hydrolase,ENSMUSG00000041426,True,False,True
4726.0,407785,Ndufs6,BC059730|IP13|P52503,NADH dehydrogenase (ubiquinone) Fe-S protein 6,ENSMUSG00000021606,True,False,True
8209.0,28295,D10Jhu81e,C21orf33|ES1|Q9D172,"DNA segment, Chr 10, Johns Hopkins University 81 expressed",ENSMUSG00000053329,True,False,True
5019.0,67041,Oxct1,2610008O03Rik|Oxct|Oxct2a|Scot-s|Q9D0K2,3-oxoacid CoA transferase 1,ENSMUSG00000022186,True,False,True
1345.0,12864,Cox6c,Q9CPQ1,cytochrome c oxidase subunit VIc,ENSMUSG00000014313,True,True,True
4715.0,66218,Ndufb9,1190008J14Rik|Q9CQJ8,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9",ENSMUSG00000022354,True,True,True
6648.0,20656,Sod2,MnSOD|Sod-2|P09671,"superoxide dismutase 2, mitochondrial",ENSMUSG00000006818,True,False,True
4711.0,66046,Ndufb5,0610007D05Rik|AU015782|SGDH|Q9CQH3,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5",ENSMUSG00000027673,True,True,True
3033.0,15107,Hadh,AA409008|AU019341|AW742602|HCDH|Hadhsc|Schad|Q61425,hydroxyacyl-Coenzyme A dehydrogenase,ENSMUSG00000027984,True,False,True
2235.0,14151,Fech,AI894116|Fcl|fch|Q544X6,ferrochelatase,ENSMUSG00000024588,True,False,True
11019.0,79464,Lias,2900022L22Rik|4933425M12Rik|7a5ex|C77512|mLip1|Q99M04,lipoic acid synthetase,ENSMUSG00000029199,True,False,True
9054.0,18041,Nfs1,AA987187|m-Nfs1|m-Nfsl|Q9Z1J3,nitrogen fixation gene 1 (S. cerevisiae),ENSMUSG00000027618,True,False,True
2230.0,14148,Fdx1,P46656,ferredoxin 1,ENSMUSG00000032051,True,False,True
79922.0,217038,Mrm1,A530065E19Rik|ENSMUSG00000054212|Q99J25,mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae),ENSMUSG00000018405,True,False,True
55168.0,68565,Mrps18a,1110004O20Rik|C79712|Q99N85,mitochondrial ribosomal protein S18A,ENSMUSG00000023967,True,False,True
115416.0,75593,Malsu1,2410003K15Rik|Matsu1|Q9CWV0,mitochondrial assembly of ribosomal large subunit 1,ENSMUSG00000029815,True,False,True
5188.0,229487,Pet112,9430026F02Rik|Pet112l|Q99JT1,PET112 homolog (S. cerevisiae),ENSMUSG00000028085,True,False,True
2395.0,14297,Fxn,FA|FARR|Frda|X25|O35943,frataxin,ENSMUSG00000059363,True,False,True
51067.0,70120,Yars2,2210023C10Rik|tyrRS|Q8BYL4,tyrosyl-tRNA synthetase 2 (mitochondrial),ENSMUSG00000022792,True,False,True
3421.0,15929,Idh3g,P70404,"isocitrate dehydrogenase 3 (NAD+), gamma",ENSMUSG00000002010,True,False,True
28957.0,66230,Mrps28,1500012D08Rik|AW061224|Q9CY16,mitochondrial ribosomal protein S28,ENSMUSG00000040269,False,False,True
10469.0,21856,Timm44,0710005E20Rik|D8Ertd118e|Mimt44|Tim44|O35857,translocase of inner mitochondrial membrane 44,ENSMUSG00000002949,True,False,True
10845.0,270166,Clpx,AU014732|E330029I21|Q9JHS4,caseinolytic peptidase X (E.coli),ENSMUSG00000015357,True,False,True
11222.0,94062,Mrpl3,2010320L16Rik|5930422H18Rik|AA407889|Q99N95,mitochondrial ribosomal protein L3,ENSMUSG00000032563,True,False,True
51102.0,26922,Mecr,AI195831|Nrbf1|Q9DCS3,mitochondrial trans-2-enoyl-CoA reductase,ENSMUSG00000028910,True,False,True
291.0,11739,Slc25a4,AU019225|Ant1|P48962,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",ENSMUSG00000031633,False,False,True
788.0,57279,Slc25a20,1110007P09Rik|C78826|Cact|mCAC|Q9Z2Z6,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20",ENSMUSG00000032602,False,False,True
23788.0,56428,Mtch2,2310034D24Rik|4930539J07Rik|HSPC032|Q791V5,mitochondrial carrier homolog 2 (C. elegans),ENSMUSG00000027282,False,True,True
5164.0,18604,Pdk2,Q9JK42,"pyruvate dehydrogenase kinase, isoenzyme 2",ENSMUSG00000038967,True,False,True
7416.0,22333,Vdac1,AL033343|Vdac5|Q60932,voltage-dependent anion channel 1,ENSMUSG00000020402,False,True,True
1340.0,110323,Cox6b1,2010000G05Rik|Cox6b|P56391,"cytochrome c oxidase, subunit VIb polypeptide 1",ENSMUSG00000036751,False,True,True
51073.0,66163,Mrpl4,1110017G11Rik|Q9DCU6,mitochondrial ribosomal protein L4,ENSMUSG00000003299,True,False,True
63931.0,64659,Mrps14,1810032L21Rik|AL022847|Rpms14|Q9CR88,mitochondrial ribosomal protein S14,ENSMUSG00000058267,True,False,True
3313.0,15526,Hspa9,74kDa|Csa|Grp75|Hsc74|Hsp74|Hsp74a|Hspa9a|Mortalin|Mot-2|Mot2|Mthsp70|Pbp74|P38647,heat shock protein 9,ENSMUSG00000024359,True,False,True
4695.0,17991,Ndufa2,AV000592|B8|C1-B8|CI-B8|Q9CQ75,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2",ENSMUSG00000014294,True,False,True
4704.0,66108,Ndufa9,1010001N11Rik|Q9DC69,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9",ENSMUSG00000000399,True,False,True
23479.0,66383,Iscu,2310020H20Rik|AA407971|Nifu|Nifun|Q9D7P6,IscU iron-sulfur cluster scaffold homolog (E. coli),ENSMUSG00000025825,True,False,True
708.0,12261,C1qbp,AA407365|AA986492|D11Wsu182e|HABP1|P32|gC1qBP|Q8R5L1,"complement component 1, q subcomponent binding protein",ENSMUSG00000018446,True,False,True
246269.0,215951,Lace1,CG8520|Q3V384,lactation elevated 1,ENSMUSG00000038302,True,False,True
10063.0,12856,Cox17,AI037035|P56394,cytochrome c oxidase assembly protein 17,ENSMUSG00000046516,False,True,True
440574.0,433771,Minos1,2310028O11Rik|Q7TNS2,mitochondrial inner membrane organizing system 1,ENSMUSG00000050608,False,True,True
55245.0,56046,Uqcc1,2310079L17Rik|2410003P15Rik|3110038N19Rik|Bfzb|Bfzp|Uqcc|Q9CWU6,ubiquinol-cytochrome c reductase complex assembly factor 1,ENSMUSG00000005882,True,False,True
9553.0,66845,Mrpl33,0610009M10Rik|L33mt|MRP-L33|Q9CQP0,mitochondrial ribosomal protein L33,ENSMUSG00000029142,False,False,True
33.0,11363,Acadl,AA960361|AU018452|C79855|LCAD|P51174,"acyl-Coenzyme A dehydrogenase, long-chain",ENSMUSG00000026003,False,False,True
4724.0,17993,Ndufs4,6720411N02Rik|C1-18k|Q9CXZ1,NADH dehydrogenase (ubiquinone) Fe-S protein 4,ENSMUSG00000021764,True,False,True
11331.0,12034,Phb2,AU044498|BAP|Bap37|Bcap37|REA|O35129,prohibitin 2,ENSMUSG00000004264,False,False,True
594.0,12040,Bckdhb,Q6P3A8,"branched chain ketoacid dehydrogenase E1, beta polypeptide",ENSMUSG00000032263,True,False,True
6183.0,24030,Mrps12,AI327385|Rpms12|rps12|O35680,mitochondrial ribosomal protein S12,ENSMUSG00000045948,False,False,True
79590.0,67707,Mrpl24,2010005E08Rik|2810470K06Rik|6720473G22Rik|AA407670|Q9CQ06,mitochondrial ribosomal protein L24,ENSMUSG00000019710,True,False,True
27349.0,223722,Mcat,AI225907|BC025519|Q8R3F5,malonyl CoA:ACP acyltransferase (mitochondrial),ENSMUSG00000048755,True,False,True
28998.0,68537,Mrpl13,1110002D09Rik|Q9D1P0,mitochondrial ribosomal protein L13,ENSMUSG00000022370,True,False,True
5095.0,110821,Pcca,C79630|Q91ZA3,"propionyl-Coenzyme A carboxylase, alpha polypeptide",ENSMUSG00000041650,False,False,True
63875.0,27397,Mrpl17,MRP-L26|Rpml26|Q9D8P4,mitochondrial ribosomal protein L17,ENSMUSG00000030879,True,False,True
9131.0,26926,Aifm1,AIF|AIFsh2|Hq|Pdcd8|mAIF|Q9Z0X1,"apoptosis-inducing factor, mitochondrion-associated 1",ENSMUSG00000036932,False,True,True
1327.0,12857,Cox4i1,AL024441|COXIV|Cox4|Cox4a|P19783,cytochrome c oxidase subunit IV isoform 1,ENSMUSG00000031818,True,True,True
