Name,Symbol,Gene Symbol,Description,Accession,Entrez,Ensembl,Chromosome,MitoCarta2_List,Matrix,IMS,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,Modifications,Acetyl (K) Count,Acetyl (K) Positions,CrATFL_126_1_Proteins,CrATFL_127N_1_Proteins,CrATFL_127C_1_Proteins,CrATKO_128N_1_Proteins,CrATKO_128C_1_Proteins,CrATKO_129N_1_Proteins,DFC_129C_1_Proteins,DFC_130N_1_Proteins,DKO_130C_1_Proteins,DKO_131_1_Proteins,CrATFL_126_1_Proteins_norm,CrATFL_127N_1_Proteins_norm,CrATFL_127C_1_Proteins_norm,CrATKO_128N_1_Proteins_norm,CrATKO_128C_1_Proteins_norm,CrATKO_129N_1_Proteins_norm,DFC_129C_1_Proteins_norm,DFC_130N_1_Proteins_norm,DKO_130C_1_Proteins_norm,DKO_131_1_Proteins_norm,CrATFL_126_1_Proteins_norm_log2,CrATFL_127N_1_Proteins_norm_log2,CrATFL_127C_1_Proteins_norm_log2,CrATKO_128N_1_Proteins_norm_log2,CrATKO_128C_1_Proteins_norm_log2,CrATKO_129N_1_Proteins_norm_log2,DFC_129C_1_Proteins_norm_log2,DFC_130N_1_Proteins_norm_log2,DKO_130C_1_Proteins_norm_log2,DKO_131_1_Proteins_norm_log2,A,DKOvsDFC_Log2FC,CrATKOvsCrATFL_Log2FC,DKOvsCrATKO_Log2FC,DFCvsCrATFL_Log2FC,DKOvsDFC_t,CrATKOvsCrATFL_t,DKOvsCrATKO_t,DFCvsCrATFL_t,DKOvsDFC_p_value,CrATKOvsCrATFL_p_value,DKOvsCrATKO_p_value,DFCvsCrATFL_p_value,F,F.p.value,DKOvsDFC_significant,CrATKOvsCrATFL_significant,DKOvsCrATKO_significant,DFCvsCrATFL_significant
40S ribosomal protein S15a,Rps15a,Rps15a,40S ribosomal protein S15a OS=Mus musculus GN=Rps15a PE=1 SV=2,P62245,267019,ENSMUSG00000008683.16,7,True,False,False,47,8,31,0,8,,0,,285.6,482.6,530.3,465.2,468.3,492.5,466.9,477.7,455.1,432.4,358.7473944531257,454.24015339811365,481.04988188333704,454.1480368852974,470.2180401884608,498.3231378196484,449.64377279811305,484.574152947224,475.8511911899353,411.83757541066603,-0.33345865445725487,0.007028233244879445,0.0897594921302769,0.006735635789075545,0.05690288175452629,0.14065455373338587,-0.007644519448721354,0.10029044575052382,0.07408347444054719,-0.1343515429372264,8.82028319790684,-0.0764569973992408,0.14698800011969698,-0.0982317246740045,0.125213272844933,-0.5562103771464461,1.30963224428312,-0.782824196316524,0.9978444337436699,0.5922513005438211,0.22424623842378502,0.454759536744529,0.345619044970681,0.6825411500543471,0.5856509486802579,0,0,0,0
Isoform 2 of Pericentriolar material 1 protein,Pcm1,LOC100044052; Pcm1,Isoform 2 of Pericentriolar material 1 protein OS=Mus musculus GN=Pcm1,Q9R0L6-2,18536,ENSMUSG00000031592.10,8,False,False,False,1,2,3,0,2,,0,,47.1,56.7,61.9,59.4,50.1,59.0,60.1,52.7,53.5,54.7,59.163173244895724,53.3680412301555,56.151211933959196,57.988807805216396,50.305197124582286,59.69759417534874,57.87875507639023,53.45835851019197,55.9394390873688,52.098786713606465,0.09162819670256361,-0.05709517645250983,0.016245923779930393,0.06270324069275723,-0.142363782173196,0.10460155432762264,0.05996265359640951,-0.054655698507392714,0.010794550337000608,-0.09182146230318544,5.794999332330709,-0.0431669335276004,-0.008612643727601291,-0.0488271269321539,-0.0142728371321548,-0.439563061332815,-0.107411826784116,-0.5446553629638039,-0.159210213198471,0.671098579416921,0.9169278627494821,0.599835720323595,0.877181800162625,0.15082212002483403,0.9264395436807841,0,0,0,0
Cysteine and glycine-rich protein 3,Csrp3,Csrp3,Cysteine and glycine-rich protein 3 OS=Mus musculus GN=Csrp3 PE=1 SV=1,P50462,13009,ENSMUSG00000030470.15,7,False,False,False,35,6,19,4,6,,0,,65.7,66.4,86.6,56.2,78.4,40.7,60.7,34.8,60.1,28.5,82.52697414415391,62.498023592280866,78.5572690384631,54.864831627157606,78.72110687758985,41.18122174468973,58.45657958630427,35.300775638608734,62.84037923646476,27.14470605736351,0.5852189495698958,0.18416377210997226,0.5140979814501767,-0.003765117729296996,0.5171037109045891,-0.41766016349754853,0.08771862129869135,-0.6399469121380932,0.19204509191746233,-1.0189759338858524,5.78157489017292,-0.137351275564494,-0.395934091150766,-0.4453582308767779,-0.7039410464630501,-0.323055244531569,-1.14054552748024,-1.1474775698330602,-1.81372321268415,0.7543746823026921,0.284845609038342,0.282123611152154,0.10469582934507199,1.92985460948827,0.198380871401023,0,0,0,0
Protein S100-A11,S100a11,S100a11,Protein S100-A11 OS=Mus musculus GN=S100a11 PE=1 SV=1,P50543,20195,ENSMUSG00000027907.4,3,False,False,False,35,3,20,3,3,,0,,197.8,327.2,426.4,440.7,315.9,319.7,388.1,455.6,262.8,349.9,248.4602052620037,307.9721885450948,386.7993015935412,430.23009427203476,317.1938477376356,323.4800145399829,373.7561538294018,462.15613163649834,274.7828895730938,333.260794718298,-0.4526823310387771,-0.14289705734065805,0.1858880584371736,0.3394113122817579,-0.10033234250919953,-0.07202055002873031,0.13640020178300283,0.4426831926758368,-0.3074049595168482,-0.02904552474356059,8.40955332121838,-0.457766939359622,0.19224991656203003,-0.223911382044816,0.426105473876836,-2.0328171840363796,1.04560027489258,-1.0892327550091099,2.07282021573352,0.07408326919582599,0.324262098868067,0.305650188064307,0.0695100136599744,1.90311592833873,0.20265261218956102,0,0,0,0
GDH/6PGL endoplasmic bifunctional protein,H6pd,H6pd,GDH/6PGL endoplasmic bifunctional protein OS=Mus musculus GN=H6pd PE=1 SV=1,A2A7A7,100198,ENSMUSG00000028980.14,4,False,False,False,11,6,14,0,5,,0,,61.1,70.6,78.5,65.1,65.4,67.2,73.7,67.4,67.9,78.3,76.74882983573522,66.45121183155163,71.20953371269462,63.553390372383625,65.66786211472419,67.99454794209213,70.97611063444192,68.36989304719049,70.99603577630545,74.5765082207566,0.14212068174049453,-0.0657285632915734,0.034046333176640076,-0.1300549821103889,-0.08283658503833724,-0.032605002310836184,0.029309446812278317,-0.02466290413076422,0.02971439812520771,0.10069717702728376,6.119952167498719,0.0628825162354882,-0.118645007028373,0.147037977396099,-0.0344895458677623,0.783259778708215,-1.80996847193607,2.00630084968467,-0.47060226483750395,0.454516970727565,0.10531230996382901,0.0772730417615171,0.649638943374319,1.6895556073651499,0.241010070803005,0,0,0,0
Protein transport protein Sec61 subunit alpha isoform 2,Sec61a2,Sec61a2,Protein transport protein Sec61 subunit alpha isoform 2 OS=Mus musculus GN=Sec61a2 PE=2 SV=3,Q9JLR1,57743,ENSMUSG00000025816.15,2,False,False,False,18,5,12,0,5,,0,,31.8,43.8,36.6,35.2,33.1,42.1,38.8,38.0,38.2,42.6,39.944562827763995,41.226105923823816,33.20087813865762,34.36373795864676,33.23556935775796,42.59777482681665,37.36598497444161,38.54682397319345,39.94180510537361,40.574192212059145,0.0736020091725127,0.11916106500481227,-0.19317573035191415,-0.14351015467233452,-0.19166906176280918,0.1663809399431928,-0.022671578129271452,0.022214864984718474,0.07350240388261753,0.09616524192847375,5.24632522553233,0.0850621794778217,-0.0561285401057869,0.141099915069527,-9.08045140812774e-05,0.625821820010572,-0.505758943331425,1.1371861731528201,-0.000731833451651665,0.5476894078402371,0.6257421456515171,0.286172254285843,0.9994327864580039,0.43106976409129,0.7360891333256641,0,0,0,0
Leucine-rich repeat-containing protein 59,Lrrc59,Lrrc59,Leucine-rich repeat-containing protein 59 OS=Mus musculus GN=Lrrc59 PE=1 SV=1,Q922Q8,98238,ENSMUSG00000020869.8,11,False,False,False,23,5,12,5,5,,0,,147.1,202.6,251.9,245.3,217.5,224.3,207.6,238.2,227.5,250.4,184.77500603660638,190.69427078006177,228.50549735322008,239.47229889931958,218.39082584025243,226.9520402293343,199.92728043025974,241.62772290564945,237.8733157453533,238.49243497416924,-0.24971205572955402,-0.20422017666776515,0.05674719722574295,0.12437710437542826,-0.008569423819116295,0.04690578109052623,-0.13600633283105967,0.137304313645342,0.1147117649477476,0.11846182776271164,7.77933786640487,0.11593780594808802,0.18663283227280397,0.0623489758062803,0.13304400213099699,0.95739937088966,1.88756422145565,0.5640115624109711,1.20352186288445,0.3645215432079729,0.0932396251501756,0.587160358779057,0.260877389629216,2.01386648342256,0.18564244758828896,0,0,0,0
60S ribosomal protein L28,Rpl28,Rpl28,60S ribosomal protein L28 OS=Mus musculus GN=Rpl28 PE=1 SV=2,P41105,19943,ENSMUSG00000030432.12,7,False,False,False,44,8,30,4,8,,0,,433.2,687.6,699.7,662.1,550.1,715.1,700.3,641.8,634.5,641.7,544.1504596536906,647.1933888863301,634.7173342518781,646.3701960914777,552.3530726194156,723.5550778778286,674.4175071546767,651.0355691051461,663.4312916062711,611.1844869126375,-0.21752481716329797,0.032666436221918005,0.0045838090190173375,0.03083024303135673,-0.1959396795844821,0.19357240619146054,0.09211155316361719,0.04120593227579583,0.06841662591555497,-0.049922509070945864,9.30538662419211,-0.0574116842974011,0.0695791805202326,-0.000240598123808056,0.12675026669382597,-0.438277987694504,0.65054045624048,-0.00201201970778676,1.0599585338356898,0.671994102188133,0.5323470593951379,0.99844056857941,0.318043036994192,0.39163863102693697,0.7622030653048879,0,0,0,0
Mitochondrial fission factor,Mff,,Mitochondrial fission factor OS=Mus musculus GN=Mff PE=1 SV=1,E0CYB9,,ENSMUSG00000026150.14,1,False,False,False,27,4,15,0,4,,0,,23.6,31.8,29.2,26.3,24.6,22.8,23.7,23.4,27.0,27.6,29.644392538843718,29.93128238305017,26.488132285486408,25.67517921342073,24.700755474345794,23.06957876606697,22.824068141604798,23.7367284466507,28.231118791756217,26.28750481344677,0.19225711383269672,0.2061519712706925,0.029844000826758865,-0.015127773434630676,-0.07094695264808948,-0.16951045837576384,-0.1849461608354419,-0.1283810131801273,0.12178418348039788,0.01887508906350277,4.69743021494963,0.226993223279735,-0.227946090129545,0.15552469775811098,-0.29941461565117,2.64304081200021,-3.25063909509584,1.9837227156436201,-3.81904342541604,0.0278264478447804,0.0106170341718635,0.0800926617962376,0.004460642968371479,6.412173438108,0.0140779659238907,0,0,0,0
Fragile X mental retardation syndrome-related protein 2,Fxr2,Fxr2,Fragile X mental retardation syndrome-related protein 2 OS=Mus musculus GN=Fxr2 PE=1 SV=1,Q6P5B5,23879,ENSMUSG00000018765.5,11,False,False,False,10,6,16,1,4,,0,,49.2,61.0,65.9,71.5,58.6,66.2,64.2,56.0,51.1,66.8,61.80102173352165,57.41535299893272,59.77972320594365,69.80134272850123,58.840011007994455,66.98272431200148,61.82722256080287,56.805845855232455,53.43000630587935,63.62338121515377,0.02222532295624191,-0.0839687984172679,-0.02574914989906052,0.19784942208496492,-0.048607850418934895,0.13838368741285834,0.022836830534748387,-0.09936596267241882,-0.18775517948666565,0.06415167790553156,5.92733346180349,-0.0235371847217332,0.125039294812992,-0.157676837150199,-0.00910035761547423,-0.215011491492327,1.3989406866285101,-1.57784987196412,-0.0910659952211351,0.834773680544275,0.19687016329454501,0.150645150498284,0.929527268316488,1.13196835734992,0.38914883147593604,0,0,0,0
"Transcription factor A, mitochondrial",Tfam,Tfam,"Transcription factor A, mitochondrial OS=Mus musculus GN=Tfam PE=1 SV=2",P40630,21780,ENSMUSG00000003923.14,10,True,True,False,23,7,35,0,7,,0,,454.3,630.0,611.6,509.5,595.9,524.2,558.4,488.9,556.4,600.7,570.6545563727416,592.9782358906166,554.7993734864208,497.3955821002989,598.3406580147422,530.3979468935223,537.762010560005,495.93532211827045,581.7701665086355,572.1342080230969,0.04772550744352522,0.10308698217690448,0.007073986223472772,-0.1504984787578305,0.11607492704223255,-0.05781698129616153,-0.0379243306081225,-0.15474018983946713,0.07555714388773183,0.05146143372773082,9.10874836203371,0.159841549031528,-0.0833756696185546,0.0942561331449827,-0.1489610855051,1.7290745591291499,-1.10461008907418,1.11692569756052,-1.76517388084694,0.119444761025166,0.299293538703686,0.29427805949685304,0.112933292050827,1.47332504449307,0.288923423186071,0,0,0,0
ATP synthase mitochondrial F1 complex assembly factor 1,Atpaf1,Atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1 OS=Mus musculus GN=Atpaf1 PE=1 SV=1,H3BLL2,230649,ENSMUSG00000028710.16,4,True,True,False,17,6,23,0,6,,0,,186.2,231.9,213.5,197.4,225.2,197.4,217.5,184.1,218.4,231.5,233.88923265816524,218.27246492545078,193.67178914216944,192.71028048400197,226.12236312287286,199.73398457989563,209.4613848438415,186.74921824907668,228.35838311553917,220.49120885191766,0.1531260621183188,0.05343076072101027,-0.11908556345673649,-0.12626584818186615,0.10440429418156949,-0.07461955799543851,-0.006015084021578687,-0.17159718132495616,0.11860036743808866,0.06802175052160209,7.71655557486096,0.182117191653114,-0.0613174571261084,0.125471429645088,-0.117963219134134,1.6299757020552799,-0.672140324685348,1.23017148304599,-1.1565580199221002,0.139139050354214,0.519153373645946,0.251242177742451,0.27858957800928497,1.0371009587784301,0.42369338294344394,0,0,0,0
ATP-sensitive inward rectifier potassium channel 11,Kcnj11,Kcnj11,ATP-sensitive inward rectifier potassium channel 11 OS=Mus musculus GN=Kcnj11 PE=1 SV=1,Q61743,16514,ENSMUSG00000096146.2,7,False,False,False,16,7,22,3,7,,0,,130.8,166.1,164.3,178.2,152.7,159.2,165.5,169.5,145.0,168.8,164.30027729155756,156.3391825102086,149.04110049676086,173.9664234156492,153.32542117612206,161.08232191043254,159.3832606512909,171.93912272253394,151.61156388165375,160.77285552571794,0.03836190237218151,-0.03329361364804306,-0.10226278069994077,0.12083587119823225,-0.06137609878723449,0.009825160406387035,-0.005472895635876718,0.10392483766341787,-0.07759321626489246,0.0070508333957626235,7.321829202546389,-0.0844971624483346,0.0554931415977302,-0.0583661690403616,0.0816241350057032,-0.999881437030825,0.804250468003888,-0.7565858113092969,1.0580729114327199,0.34468686000330107,0.442930108279726,0.4695296754376239,0.318854466342468,0.5640096463912391,0.652844715343761,0,0,0,0
Prefoldin subunit 3,Vbp1,Vbp1,Prefoldin subunit 3 OS=Mus musculus GN=Vbp1 PE=1 SV=2,P61759,22327,ENSMUSG00000031197.11,X,False,False,False,23,5,21,2,4,,0,,112.5,145.3,145.9,147.1,148.5,129.7,138.5,138.6,136.9,144.0,141.3133118906745,136.7614883728676,132.34994864563242,143.60527993514026,149.10821902196545,131.23352482275817,133.38115770515884,140.59446849170033,143.1422282441269,137.1521990266788,0.026313001687459092,-0.020922345268617804,-0.06822673902316367,0.04952441964010035,0.10377540881300273,-0.08044805717660175,-0.057029497684945696,0.018955460485885922,0.04486496879967028,-0.016806620272787676,7.116440563837429,0.0330661928629716,0.0452292846269415,-0.0102547494953944,0.0019083422685755,0.424127793850613,0.7105225851455891,-0.144088134241389,0.0268138658186158,0.6818910401502251,0.49620766609623,0.888752881163772,0.9792204701959029,0.23053445217853602,0.872765233242831,0,0,0,0
Lysophosphatidic acid phosphatase type 6,Acp6,Acp6,Lysophosphatidic acid phosphatase type 6 OS=Mus musculus GN=Acp6 PE=1 SV=1,Q8BP40,66659,ENSMUSG00000028093.15,3,True,False,True,13,5,18,5,5,,0,,74.5,82.1,76.9,75.4,77.1,73.6,71.7,65.1,62.8,74.9,93.58081542982444,77.27541772479304,69.75812920390085,73.60868869551038,77.41578240130328,74.47021917467232,69.05002893472845,66.03679580670772,65.66349111564038,71.33819241040446,0.3493698659289173,0.07316661387267942,-0.0744815839828945,0.0030331366502682755,0.07578477803624217,0.019820669625044474,-0.08920091492325799,-0.15357281348935903,-0.1617514785702685,-0.04216827314737781,6.19877102884109,0.0194269883474849,-0.0831387705023827,-0.134839403962676,-0.23740516281254395,0.158101535379736,-0.8286666007506859,-1.20209296350609,-2.11646645809834,0.8780291185738559,0.42970572250449107,0.261402438492506,0.0648319427245853,2.0727009160163,0.177302576567513,0,0,0,0
Patatin-like phospholipase domain-containing protein 7,Pnpla7,Pnpla7,Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus GN=Pnpla7 PE=1 SV=1,A2AJ88,241274,ENSMUSG00000036833.16,2,False,False,False,2,2,5,0,2,,0,,104.7,136.9,109.3,92.9,113.9,80.1,101.3,52.3,67.7,63.2,131.51558893292108,128.85511189432606,99.14907050697481,90.69293341926942,114.36650603772301,81.0470727702616,97.55603809048802,53.052602468368875,70.78691637784799,60.19457623948681,0.5635066247489542,0.5340225805915271,0.15594396096593588,0.02733485700300964,0.36193740706807276,-0.13489520678450528,0.13257588241472718,-0.7462317631693001,-0.3301725566481464,-0.5640217861902732,6.475583381602339,-0.14026923104192401,-0.333032036339948,-0.531889523848071,-0.7246523291460949,-0.502281610212732,-1.4605502522817502,-2.08639686350302,-2.8425307866985396,0.62808578604262,0.17971034924325197,0.0680208534414168,0.0202204741357263,4.84421924861964,0.0301039733216027,0,0,0,0
PDZ and LIM domain protein 1,Pdlim1,Pdlim1,PDZ and LIM domain protein 1 OS=Mus musculus GN=Pdlim1 PE=1 SV=4,O70400,54132,ENSMUSG00000055044.12,19,False,False,False,15,4,16,2,4,,0,,27.5,37.9,36.7,25.0,39.3,34.4,31.6,22.2,28.2,20.8,34.543254017720436,35.67281768294344,33.29159092045723,24.406063891084344,39.46096301389389,34.80673287511859,30.432090855473067,22.519460321181437,29.485835182500935,19.810873192742495,0.21355404973457226,0.2599752310091228,0.16030787164164906,-0.2876103012131521,0.4055762211229714,0.22451645901328732,0.030743515295096557,-0.40367768956173045,-0.01482788431994475,-0.5885574727218792,4.896778038097941,-0.115225591387595,-0.0971182578207443,-0.415853471495284,-0.397746137928433,-0.45651566109355896,-0.47125204490118294,-1.80483576897106,-1.7262485608743403,0.6593370448268271,0.6491932647346359,0.10616053095377599,0.119968898336532,2.22158777029571,0.158126560738094,0,0,0,0
ERI1 exoribonuclease 3,Eri3,Eri3,ERI1 exoribonuclease 3 OS=Mus musculus GN=Eri3 PE=1 SV=1,Q8C460,140546,ENSMUSG00000033423.16,4,True,False,False,16,5,22,0,5,,0,,210.1,344.4,365.1,313.1,344.4,346.1,349.4,309.5,320.0,330.6,263.9104606953841,324.1614356202037,331.19236635037976,305.6615441719403,345.8105766408411,350.1921583743763,336.4864729399458,313.9537373606151,334.5910375319255,314.8785902654168,-0.28323038542189494,0.013433546817383402,0.04439049881582946,-0.07134386615406108,0.10670307284371816,0.12486785705914549,0.06726958661726101,-0.03272693522770176,0.05911987963849441,-0.028483254988149298,8.32713511151543,-0.0019530133696044102,0.12854446784583098,-0.0380907089244307,0.0924067722910049,-0.0163358195543759,1.31684521943246,-0.34901604259485997,0.846701121734318,0.9873394159159761,0.22192111175109197,0.7354753781449591,0.4201134652827371,0.61939780331389,0.620595271391889,0,0,0,0
Peptidyl-prolyl cis-trans isomerase C,Ppic,Ppic,Peptidyl-prolyl cis-trans isomerase C OS=Mus musculus GN=Ppic PE=1 SV=1,P30412,19038,ENSMUSG00000024538.7,18,False,False,False,34,5,22,4,4,,0,,160.6,203.6,234.2,258.2,209.0,220.5,222.3,236.5,197.7,264.4,201.73260346348732,191.63550607512624,212.44933497468892,252.06582786711908,209.8560119568403,223.1071104349898,214.0839809231539,239.90325972790134,206.71452537519272,251.82667654620744,-0.12151226407903248,-0.19559164400517037,-0.04683770361924555,0.1998440165130546,-0.06455673708628673,0.023779961837174568,-0.03577968277391275,0.12849622939602323,-0.08631676390842724,0.19847458772582272,7.77781272101683,0.00972063859764294,0.17433628432246398,0.0030564981540477398,0.16767214387886803,0.08015245230713,1.7605786563029502,0.0276081164657697,1.51451492622128,0.9379513364693179,0.113743470971871,0.9786051340082359,0.16577213092537602,1.43171112001118,0.299383233723714,0,0,0,0
Isoform 2 of 5-phosphohydroxy-L-lysine phospho-lyase,Phykpl,Agxt2l2; Phykpl,Isoform 2 of 5-phosphohydroxy-L-lysine phospho-lyase OS=Mus musculus GN=Phykpl,Q8R1K4-2,72947,ENSMUSG00000020359.13,11,False,False,False,19,6,14,0,6,,0,,80.0,101.7,109.6,96.2,100.6,97.6,96.6,75.1,90.3,101.5,100.48946623336853,95.72362950805669,99.42120885237364,93.91453385289255,101.01203254956043,98.75398629684808,93.02974609616132,76.18069685228494,94.41740840354022,96.67325139727707,0.08573927234543088,0.015641997943688146,0.07032054300711899,-0.011884660857041318,0.09322214991804856,0.06060588312223114,-0.025541012798076856,-0.3138076171494095,-0.004180217989724788,0.029883662457723226,6.56516119684978,0.18252603720774102,-0.00991948037099899,-0.0344627351604174,-0.22690825273915696,1.9449854647843001,-0.129457163476271,-0.402283204268177,-2.6486980375151403,0.0851611202625638,0.8999749634312841,0.697296942369543,0.0275749264011883,2.81799029475146,0.10253836556713698,0,0,0,0
Heterogeneous nuclear ribonucleoprotein F,Hnrnpf,Hnrnpf,Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus GN=Hnrnpf PE=1 SV=3,Q9Z2X1,98758,ENSMUSG00000042079.13,6,False,False,False,23,7,24,0,6,,0,,169.7,237.1,248.9,228.0,214.2,205.9,227.8,214.6,194.7,230.8,213.16328024753298,223.166888459786,225.78411389923176,222.5833026866892,215.07730986198652,208.3344854356662,219.38070559736596,217.6881164380872,203.5777343983309,219.82449677331576,-0.024117013550237765,0.042047035904587915,0.05886802936402091,0.038269418761413654,-0.011220620800830083,-0.05717428547200765,0.017360694410654354,0.006186700429234193,-0.09049617241389551,0.02027621336705998,7.75993214251339,-0.0468836769433629,-0.0356411797432639,-0.0250681503529462,-0.0138256531528471,-0.6901724855098571,-0.642589577855511,-0.404248940928772,-0.222952454249586,0.5082932044375039,0.537253833137006,0.695904408808034,0.8287810966394691,0.361983406793405,0.782192050929607,0,0,0,0
Myosin regulatory light polypeptide 9,Myl9,Myl9,Myosin regulatory light polypeptide 9 OS=Mus musculus GN=Myl9 PE=1 SV=3,Q9CQ19,98932,ENSMUSG00000067818.6,2,False,False,False,56,8,18,3,3,,0,,27.6,41.2,43.5,38.3,40.8,39.4,46.0,38.7,48.1,40.3,34.66886585051215,38.7788941566562,39.46006008283078,37.39008988114121,40.96710664037839,39.86585102557187,44.299879093410155,39.25689704638386,50.293215329017556,38.383566810938575,-0.21162759303136802,-0.049996571110837884,-0.024875081597561355,-0.1026122950823698,0.029197769703773524,-0.01011476736452277,0.1420345269302814,-0.03232209089951432,0.3250955559192157,-0.06477945346709202,5.327196329230031,0.0753018332106778,0.0676566509988836,0.158001148807099,0.150355966595304,0.577814875739589,0.635827482061541,1.32810997030772,1.26384687603934,0.5782115755224,0.5414480426028621,0.218330699189978,0.23948837913251397,1.36575558807779,0.316879911568399,0,0,0,0
Monoglyceride lipase,Mgll,,Monoglyceride lipase OS=Mus musculus GN=Mgll PE=1 SV=1,D3YYS6,,ENSMUSG00000033174.17,6,False,False,False,23,6,20,0,6,,0,,175.7,223.4,276.8,273.5,224.6,218.9,248.7,287.7,155.2,213.1,220.69999021503563,210.27196491740278,251.09298002132323,267.0023389684627,225.51990567227907,221.48819262684475,239.50825935937186,291.8400330812567,162.27665320298385,202.96620564295313,-0.03839842618904221,-0.10822848019862175,0.14773670291519192,0.23636738828471238,-0.007230212255001867,-0.033255200027833,0.07959041581493231,0.364692806307481,-0.4820295380515791,-0.15924545660023703,7.82434118161791,-0.542779108387115,0.0649240598247811,-0.385931489326536,0.22177167888535998,-3.58459865460042,0.5251322771889879,-2.79201824937132,1.60440542367286,0.00634754507589304,0.6127672555029471,0.0219187461773837,0.144680115374084,4.61010784499686,0.0341340417427949,0,0,0,0
CD81 antigen,Cd81,Cd81,CD81 antigen OS=Mus musculus GN=Cd81 PE=1 SV=2,P35762,12520,ENSMUSG00000037706.17,7,False,False,False,28,3,8,1,3,,0,,18.6,39.8,40.0,37.1,33.8,42.3,39.6,40.8,29.3,29.0,23.363800899258184,37.46116474356594,36.28511271984439,36.218598814369166,33.93843638345072,42.80013955283477,38.136417654327005,41.38711626595507,30.63599187401693,27.620928970650592,-0.55249053435156,0.1286302265995385,0.08261222179101946,0.07996520396342266,-0.013845431635592043,0.3208499706489967,0.1544038004154622,0.2724161992775169,-0.1615379690786325,-0.31100368763017894,5.09869362488008,-0.44968082820089506,0.24273927631260897,-0.365260742680016,0.32715936183348804,-2.1038951917308797,1.3909304389833,-1.8720323517439,1.67675536394753,0.0661470840864416,0.199202443738262,0.0955465131921861,0.12949889197015302,2.12670967162,0.17003952446051598,0,0,0,0
"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",Mmab,Mmab,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial OS=Mus musculus GN=Mmab PE=1 SV=1",Q9D273,77697,ENSMUSG00000029575.17,5,True,True,False,33,7,22,0,7,Acetyl [K224],0,,33.2,37.3,41.9,42.3,32.5,40.2,40.7,34.8,37.8,48.1,41.703128486847945,35.108076505904755,38.008655574037,41.295060103714704,32.63311190716416,40.6753099296444,39.195762589169426,35.300775638608734,39.5235663084587,45.81264425821702,0.10579539271886684,-0.14255726685733894,-0.028032227452820635,0.09160898729410238,-0.24802365317042607,0.06979311553950929,0.016337471433632622,-0.13466034001371696,0.028352907551726148,0.24138561295646177,5.27628831804854,0.19403069454413702,-0.00727581624850515,0.163743110366363,-0.0375634004262784,1.4118035556386799,-0.0648382351234754,1.30514117705072,-0.29940521183877195,0.19317438511222898,0.94978586166265,0.22570431335235897,0.771744946187018,0.834381897436119,0.50944577791739,0,0,0,0
Ubiquitin-fold modifier 1,Ufm1,Ufm1,Ubiquitin-fold modifier 1 OS=Mus musculus GN=Ufm1 PE=1 SV=1,P61961,67890,ENSMUSG00000027746.13,3,False,False,False,59,3,12,1,3,,0,,136.7,163.8,163.7,159.3,144.9,143.3,143.8,159.9,154.2,166.4,171.71137542626846,154.17434133156033,148.49682380596317,155.51543911398943,145.49347431840266,144.99432619199112,138.4852742093996,162.20097771877982,161.23105621069658,158.48698554193996,0.1589857962360952,0.0035628617865262058,-0.05056774741992509,0.016057992957556166,-0.0800453742712195,-0.08500337411917958,-0.15126724513522305,0.07678269487598044,0.06812984050378112,0.043364554585606285,7.26485601079045,0.0929894726743141,-0.0869905553451789,0.10541078268897199,-0.0745692453305207,0.954761043656562,-1.09390255956333,1.18559556668381,-0.838708948169792,0.36578071420515396,0.303708688730621,0.267527048220021,0.424345913100465,0.722785541118475,0.5643890556833779,0,0,0,0
Proteasome subunit beta type-4,Psmb4,Psmb4,Proteasome subunit beta type-4 OS=Mus musculus GN=Psmb4 PE=1 SV=1,P99026,19172,ENSMUSG00000005779.12,3,False,False,False,31,6,32,6,6,,0,,149.8,212.7,210.9,202.9,210.5,214.6,222.0,205.3,189.7,196.0,188.16652552198258,200.20074726021292,191.3132568153796,198.07961454004052,211.36215558332478,217.1373510174549,213.79506866819685,208.25428846570043,198.34974943689457,186.67938200853504,-0.09568835865109371,-0.006250997633691746,-0.0717615098402673,-0.02161794455097521,0.07201872838572854,0.1109095566353151,0.08853021992306687,0.05064784776436948,-0.019651781739658425,-0.10713576029279626,7.65155454653033,-0.132982804859948,0.11167040219837401,-0.11716388450625399,0.12748932255206802,-1.8763636118829399,1.9297685449834499,-1.8109476594964702,1.9705431520933798,0.0948978428189012,0.0872346582663197,0.105151213168943,0.0817838456333175,2.41916080061152,0.136389560269622,0,0,0,0
